Hour;Lignite;Coal;Gas;WindOnshore;WindOffshore;PVGround;PVRoof
720;27165.26222252317;0.0;0.0;22200.953723;1087.0401730756441;0.0;0.0
721;27165.26222252317;0.0;1352.621374794373;23333.827980000002;901.2884226824535;0.0;0.0
722;25841.389922841096;0.0;0.0;24787.965086;813.6449911589058;0.0;0.0
723;24085.419800645846;0.0;0.0;25954.656485;763.9367762649533;0.0;0.0
724;24065.26624175123;0.0;0.0;25937.747914;756.0881107553819;0.0;0.0
725;27165.26222252317;0.0;0.0;25599.576494;774.4016636110487;0.0;0.0
726;27165.26222252317;0.0;0.0;25193.77079;808.4125474858582;0.0;0.0
727;27165.26222252317;0.0;0.0;25751.753632999997;816.2612129954296;0.0;0.0
728;27165.26222252317;0.0;0.0;24043.987962;808.4125474858582;1941.313361;2239.2442965732193
729;27165.26222252317;0.0;0.0;19901.388067;758.7043325919058;6422.558324;7408.22032410967
730;25530.174833103432;0.0;0.0;20780.633758999997;678.9095665779295;10702.399018999999;12344.882822318641
731;12083.360434120777;0.0;0.0;25126.136506;616.120242501358;13762.624979999999;15874.757837377865
732;6912.097244816796;0.0;0.0;26800.085035;576.8769149535008;14864.753890999998;17146.029095086582
733;9374.99294737159;0.0;0.0;24957.050796;593.8823568909055;13404.572947999999;15461.756007462345
734;21931.2126522256;0.0;0.0;20307.193771;637.0500171935485;9326.136520999999;10757.407038580854
735;27165.26222252317;0.0;5597.99670449407;19157.410943;678.9095665779295;4419.70477;5097.991338019721
736;27165.26222252317;0.0;2781.2495303847522;23502.91369;706.3798958614294;497.91610699999995;574.3306697262724
737;27165.26222252317;0.0;7423.529503312759;28034.410718;749.5475561640724;0.0;0.0
738;27165.26222252317;0.0;12011.074984072704;28490.942135;809.7206584041201;0.0;0.0
739;27165.26222252317;0.0;2287.6699003772355;28406.39928;860.7369842163343;0.0;0.0
740;27165.26222252317;0.0;3184.6917658569764;28017.502146999996;918.2938646198583;0.0;0.0
741;27165.26222252317;0.0;0.0;27121.347883999995;966.6939685955488;0.0;0.0
742;23043.877012801346;0.0;0.0;26580.273612;999.3967415520964;0.0;0.0
743;21445.74674463992;0.0;0.0;24990.867937999996;1047.7968455277871;0.0;0.0
744;19744.498800242956;0.0;0.0;23418.370835;1046.4887346095252;0.0;0.0